Joint1Tx, Joint1Ty, Joint1Tz, Joint2Tx, Joint2Ty, Joint2Tz, Joint3Tx, Joint3Ty, Joint3Tz, Joint1Ix, Joint1Iy, Joint1Iz, Joint2Ix, Joint2Iy, Joint2Iz, Joint3Ix, Joint3Iy, Joint3Iz, Joint1Mx, Joint1My, Joint1Mz, Joint2Mx, Joint2My, Joint2Mz, Joint3Mx, Joint3My, Joint3Mz,ThumbClosure, IndexClosure, MiddleClosure, ThumbAbduction
-35.65897,162.4786,-34.19293,4.537393,140.6479,-22.43268,31.98227,129.6371,-22.41516,74.75188,-90.06647,-4.255157,10.67266,90.98362,-179.723,-76.89011,74.28955,-164.0754,77.90831,-56.49503,24.32602,5.825575,97.40704,174.692,-80.23431,-106.7643,24.66135,0.8745098,0.9607843,1,0.6196079
-34.48926,163.7655,-34.63367,6.200699,141.3059,-23.23944,34.14071,129.2902,-23.94244,76.17549,-90.26852,-4.262177,7.308286,90.77545,-179.7489,-81.65204,64.40463,-154.341,77.90826,-56.49506,24.32601,5.825584,97.40703,174.6921,-80.23431,-106.7642,24.66132,0.8980392,0.9843137,1,0.5882353
-34.48926,163.7655,-34.63367,6.200702,141.3059,-23.23944,34.14071,129.2902,-23.94244,76.88132,-90.37579,-4.272736,5.644022,90.67313,-179.7599,-83.81696,54.10463,-144.1158,77.90831,-56.49506,24.32601,5.82558,97.40704,174.6921,-80.23431,-106.7643,24.66137,0.8980392,1,1,0.5882353
-34.04916,164.2467,-34.79086,6.790989,141.5639,-23.54169,34.87926,129.1718,-24.51974,77.11572,-90.4126,-4.277466,5.091911,90.63927,-179.7633,-84.46948,48.97802,-139.0141,77.90826,-56.49503,24.32603,5.825578,97.40703,174.692,-80.23425,-106.7643,24.66135,0.9058824,1,1,0.5764706
-33.31519,165.0503,-35.04031,7.732641,142.0147,-24.04138,36.02195,129.0034,-25.47809,77.11578,-90.41263,-4.277466,5.091905,90.63927,-179.7633,-84.46942,48.97799,-139.0141,77.90826,-56.495,24.32605,5.825579,97.40704,174.6921,-80.23431,-106.7643,24.66138,0.9176471,1,1,0.5568628
-32.55646,165.7773,-35.32208,8.789149,142.3068,-24.59332,37.35892,128.531,-26.60455,77.11572,-90.4126,-4.277466,5.091908,90.63927,-179.7633,-84.46942,48.97798,-139.0141,77.90833,-56.49503,24.32601,5.825581,97.40704,174.6921,-80.23431,-106.7643,24.66136,0.9372549,1,1,0.5294118
-32.24344,166.0401,-35.4502,9.255552,142.3615,-24.83676,37.96789,128.2198,-27.12521,77.11575,-90.4126,-4.277466,5.091911,90.63928,-179.7633,-84.46942,48.97806,-139.0142,77.90831,-56.49503,24.32603,5.825579,97.40703,174.6921,-80.23431,-106.7643,24.66134,0.9411765,1,1,0.5294118
-32.24344,166.0401,-35.45023,9.255548,142.3615,-24.83676,37.96788,128.2198,-27.12521,77.11572,-90.4126,-4.277496,5.091913,90.63927,-179.7633,-84.46951,48.97803,-139.0141,77.90831,-56.49509,24.32598,5.825585,97.40703,174.6921,-80.23425,-106.7643,24.66134,0.9411765,1,1,0.5294118
-32.10449,166.2266,-35.47766,9.373474,142.5207,-24.91489,38.06334,128.3107,-27.25677,77.11572,-90.4126,-4.277466,5.091912,90.63927,-179.7633,-84.46948,48.97803,-139.0142,77.90829,-56.49506,24.32599,5.825585,97.40703,174.6921,-80.23431,-106.7643,24.66134,0.9411765,1,1,0.5254902
-32.26141,166.0965,-35.41364,9.140411,142.4951,-24.79245,37.76003,128.4702,-26.99356,77.11575,-90.4126,-4.277466,5.091915,90.63927,-179.7633,-84.46945,48.97808,-139.0142,77.90826,-56.49503,24.32603,5.825587,97.40703,174.6921,-80.23431,-106.7643,24.66139,0.9372549,1,1,0.5333334
